epoch,train_loss,val_loss
1,1.1471725642962172,1.7499247683770955
2,1.0961006363859322,1.5266883166600018
3,1.0689739504740876,1.4735494538303464
4,1.0402318669328763,1.4229736094619148
5,1.0186987588727658,1.4639976656925864
6,1.0043560777454688,1.4164255003095605
7,0.9914993966169127,1.4195645583514125
8,0.9679012965857321,1.4022100817621685
9,0.9566224433685593,1.387206443157047
10,0.9392986764370866,1.3914515124284663
11,0.9286338526193472,1.381457502853591
12,0.9154190638174231,1.3654986719042064
13,0.9123410095058425,1.349002358848229
14,0.9001285338914848,1.3571119173802435
15,0.8962246724845258,1.4134274341375568
