epoch,train_loss,val_loss
1,1.2576370353957902,1.973958341460675
2,1.1853622174422263,2.0365676079050172
3,1.1566180144863742,1.7367266708100215
4,1.1331275939960694,1.7746641526115128
5,1.1143295108196023,1.7585395636875183
6,1.095814049398229,1.852523618218256
